major_division,university_name,college_name,major_name
1,이화여자대학교,엘텍공과대학, 건축도시시스템공학
1,이화여자대학교,엘텍공과대학, 건축학
1,이화여자대학교,엘텍공과대학, 기후·에너지시스템공학
1,이화여자대학교,엘텍공과대학, 사이버보안
1,이화여자대학교,엘텍공과대학, 식품공학
1,이화여자대학교,엘텍공과대학, 전자전기공학
1,이화여자대학교,엘텍공과대학, 컴퓨터공학
1,이화여자대학교,엘텍공과대학, 화학신소재공학
1,이화여자대학교,엘텍공과대학, 환경공학
1,이화여자대학교,엘텍공과대학, 휴먼기계바이오공학부
1,이화여자대학교,엘텍공과대학, 건축도시시스템공학
1,이화여자대학교,엘텍공과대학, 건축학
1,이화여자대학교,엘텍공과대학, 기후·에너지시스템공학
1,이화여자대학교,엘텍공과대학, 식품공학
1,이화여자대학교,엘텍공과대학, 전자전기공학
1,이화여자대학교,엘텍공과대학, 화학신소재공학
1,이화여자대학교,엘텍공과대학, 환경공학
1,이화여자대학교,엘텍공과대학, 휴먼기계바이오공학부
1,이화여자대학교,엘텍공과대학, 건축도시시스템공학
1,이화여자대학교,엘텍공과대학, 건축학
1,이화여자대학교,엘텍공과대학, 기후·에너지시스템공학
1,이화여자대학교,엘텍공과대학, 사이버보안
1,이화여자대학교,엘텍공과대학, 식품공학
1,이화여자대학교,엘텍공과대학, 전자전기공학
1,이화여자대학교,엘텍공과대학, 컴퓨터공학
1,이화여자대학교,엘텍공과대학, 화학신소재공학
1,이화여자대학교,엘텍공과대학, 환경공학
1,이화여자대학교,엘텍공과대학, 휴먼기계바이오공학부
1,이화여자대학교,엘텍공과대학, 건축도시시스템공학
1,이화여자대학교,엘텍공과대학, 건축학
1,이화여자대학교,엘텍공과대학, 기후·에너지시스템공학
1,이화여자대학교,엘텍공과대학, 사이버보안
1,이화여자대학교,엘텍공과대학, 식품생명공학
1,이화여자대학교,엘텍공과대학, 전자전기공학
1,이화여자대학교,엘텍공과대학, 컴퓨터공학
1,이화여자대학교,엘텍공과대학, 화공신소재공학
1,이화여자대학교,엘텍공과대학, 환경공학
1,이화여자대학교,엘텍공과대학, 휴먼기계바이오공학부
